PNeID,RA,DEC,Vrad,rmsVrad
NGC4374-331,186.28883,12.90522,850,23
NGC4374-332,186.28887,12.82928,1195,23
NGC4374-333,186.28917,12.88422,1207,23
NGC4374-334,186.28967,12.89403,836,23
NGC4374-335,186.28987,12.83922,1052,23
NGC4374-336,186.28996,12.92969,946,23
NGC4374-337,186.29017,12.93178,606,23
NGC4374-338,186.29037,12.82453,1039,23
NGC4374-339,186.29104,12.84206,1174,23
NGC4374-340,186.29129,12.86967,1151,23
NGC4374-341,186.29167,12.93789,1213,23
NGC4374-342,186.29171,12.88789,1081,23
NGC4374-343,186.29208,12.91631,856,23
NGC4374-344,186.29221,12.90222,904,23
NGC4374-345,186.293,12.85939,968,23
NGC4374-346,186.29308,12.78519,1255,23
NGC4374-347,186.29317,12.88894,1007,23
NGC4374-348,186.29317,12.89961,1191,23
NGC4374-349,186.29379,12.88669,557,23
NGC4374-350,186.29442,12.84092,1135,23
NGC4374-351,186.29483,12.8785,1027,23
NGC4374-352,186.29512,12.90994,1049,23
NGC4374-353,186.29517,12.90639,1029,23
NGC4374-354,186.29554,12.87283,1360,23
NGC4374-355,186.29562,12.89336,1170,23
NGC4374-356,186.29658,12.81608,929,23
NGC4374-357,186.29662,12.96331,582,23
NGC4374-358,186.29692,12.86389,1072,23
NGC4374-359,186.297,12.90769,1245,23
NGC4374-360,186.29742,12.84461,721,23
NGC4374-361,186.29779,12.88372,1069,22
NGC4374-362,186.29817,12.89403,1384,23
NGC4374-363,186.29854,12.87761,1141,23
NGC4374-364,186.29867,12.89672,1072,23
NGC4374-365,186.29971,12.88931,1139,23
NGC4374-366,186.3005,12.89522,828,26
NGC4374-367,186.30096,12.89008,1016,23
NGC4374-368,186.30125,12.94469,991,23
NGC4374-369,186.30171,12.93961,724,23
NGC4374-370,186.30183,12.88111,1409,23
NGC4374-371,186.3025,12.89775,343,23
NGC4374-372,186.30267,12.88036,1127,24
NGC4374-373,186.30321,12.89292,1053,23
NGC4374-374,186.30329,12.84458,782,23
NGC4374-375,186.30342,12.86186,1123,23
NGC4374-376,186.30371,12.87897,791,24
NGC4374-377,186.304,12.93017,646,23
NGC4374-378,186.30408,12.88408,793,23
NGC4374-379,186.30471,12.90367,1197,23
NGC4374-380,186.30475,12.93236,1164,23
NGC4374-381,186.30617,12.87828,976,23
NGC4374-382,186.30633,12.92761,1015,23
NGC4374-383,186.30704,12.89044,851,23
NGC4374-384,186.30746,12.84536,1113,23
NGC4374-385,186.30767,12.91861,814,24
NGC4374-386,186.30792,12.90419,1170,23
NGC4374-387,186.30796,12.93989,1211,23
NGC4374-388,186.30808,12.94689,1229,23
NGC4374-389,186.30837,12.89483,967,23
NGC4374-390,186.30896,12.90569,823,23
NGC4374-391,186.30958,12.94106,748,23
NGC4374-392,186.31025,12.91447,1049,23
NGC4374-393,186.31029,12.79256,717,23
NGC4374-394,186.31046,12.82353,1064,23
NGC4374-395,186.31125,12.87892,1270,23
NGC4374-396,186.31158,12.83289,1413,23
NGC4374-397,186.31312,12.83369,1078,23
NGC4374-398,186.31554,12.91592,1100,27
NGC4374-399,186.31754,12.85672,1030,23
NGC4374-400,186.31796,12.87833,1224,23
NGC4374-401,186.31829,12.83594,832,23
NGC4374-402,186.31883,12.91878,1039,23
NGC4374-403,186.31954,12.83072,1050,23
NGC4374-404,186.31967,12.90258,988,23
NGC4374-405,186.31992,12.91197,644,23
NGC4374-406,186.32004,12.85528,1157,23
NGC4374-407,186.3215,12.81514,671,24
NGC4374-408,186.32183,12.909,749,23
NGC4374-409,186.32229,12.92317,1271,23
NGC4374-410,186.3225,12.87164,481,23
NGC4374-411,186.32271,12.92244,756,23
NGC4374-412,186.32346,12.82686,1141,23
NGC4374-413,186.32437,12.83944,1255,23
NGC4374-414,186.32558,12.87414,1315,23
NGC4374-415,186.32571,12.92889,1134,23
NGC4374-416,186.32608,12.88136,1072,23
NGC4374-417,186.32642,12.93089,915,23
NGC4374-418,186.32658,12.86222,1087,23
NGC4374-419,186.32779,12.92525,825,23
NGC4374-420,186.32796,12.93114,1284,23
NGC4374-421,186.32879,12.87383,1018,23
NGC4374-422,186.32933,12.88422,1119,23
NGC4374-423,186.32937,12.91608,1071,22
NGC4374-424,186.32987,12.92469,1274,23
NGC4374-425,186.33062,12.86308,1233,23
NGC4374-426,186.33092,12.88433,362,23
NGC4374-427,186.33096,12.83083,906,23
NGC4374-428,186.33158,12.92081,780,23
NGC4374-429,186.33267,12.94258,1072,24
NGC4374-430,186.33387,12.86028,-215,23
NGC4374-431,186.33608,12.93039,1406,23
NGC4374-432,186.33642,12.91356,1186,23
NGC4374-433,186.33671,12.85794,906,23
NGC4374-434,186.33683,12.83567,1016,23
NGC4374-435,186.33862,12.85136,1044,23
NGC4374-436,186.33996,12.907,1177,23
NGC4374-437,186.34071,12.90342,1154,23
NGC4374-438,186.34142,12.88581,814,23
NGC4374-439,186.34392,12.86622,833,23
NGC4374-440,186.34404,12.83908,1219,23
NGC4374-441,186.345,12.88914,797,23
NGC4374-442,186.34662,12.92256,1127,23
NGC4374-443,186.35163,12.89261,942,23
NGC4374-444,186.35163,12.91467,1029,23
NGC4374-445,186.35167,12.88656,890,23
NGC4374-446,186.35175,12.87642,702,23
NGC4374-447,186.35262,12.89086,1499,23
NGC4374-448,186.35387,12.86075,1251,23
NGC4374-449,186.3575,12.91381,1464,23
NGC4374-450,186.35954,12.87472,-284,23
NGC4374-451,186.3665,12.90294,1013,23
NGC4374-452,186.36767,12.89075,878,23
NGC4374-453,186.37008,12.88511,1001,23
NGC4374-454,186.37092,12.91236,930,23
